0	7.00E-03
0.001	7.50E-04
0.002	7.50E-04
0.003	-2.38E-03
0.004	-5.50E-03
0.005	7.00E-03
0.006	-1.18E-02
0.007	-1.18E-02
0.008	3.88E-03
0.009	-5.50E-03
0.01	-2.38E-03
0.011	-8.63E-03
0.012	-2.38E-03
0.013	-1.49E-02
0.014	-1.18E-02
0.015	-2.38E-03
0.016	-1.49E-02
0.017	-2.38E-03
0.018	-5.50E-03
0.019	-1.49E-02
0.02	-2.38E-03
0.021	-8.63E-03
0.022	-5.50E-03
0.023	-5.50E-03
0.024	-5.50E-03
0.025	-5.50E-03
0.026	-5.50E-03
0.027	-5.50E-03
0.028	-2.38E-03
0.029	3.88E-03
0.03	3.88E-03
0.031	-2.38E-03
0.032	3.88E-03
0.033	7.00E-03
0.034	7.00E-03
0.035	-2.38E-03
0.036	7.00E-03
0.037	3.88E-03
0.038	-5.50E-03
0.039	3.88E-03
0.04	7.00E-03
0.041	7.50E-04
0.042	-2.38E-03
0.043	-5.50E-03
0.044	-8.63E-03
0.045	-1.18E-02
0.046	-1.18E-02
0.047	-8.63E-03
0.048	-5.50E-03
0.049	-1.49E-02
0.05	-8.63E-03
0.051	-1.49E-02
0.052	-1.18E-02
0.053	-5.50E-03
0.054	-8.63E-03
0.055	-2.38E-03
0.056	-5.50E-03
0.057	-2.38E-03
0.058	7.00E-03
0.059	-5.50E-03
0.06	7.50E-04
0.061	3.88E-03
0.062	7.50E-04
0.063	7.50E-04
0.064	-2.38E-03
0.065	3.88E-03
0.066	7.00E-03
0.067	-5.50E-03
0.068	3.88E-03
0.069	3.88E-03
0.07	3.88E-03
0.071	7.00E-03
0.072	7.00E-03
0.073	7.50E-04
0.074	-5.50E-03
0.075	-5.50E-03
0.076	3.88E-03
0.077	7.50E-04
0.078	7.50E-04
0.079	3.88E-03
0.08	7.00E-03
0.081	3.88E-03
0.082	7.50E-04
0.083	7.50E-04
0.084	7.50E-04
0.085	-5.50E-03
0.086	3.88E-03
0.087	1.33E-02
0.088	-2.38E-03
0.089	3.88E-03
0.09	7.50E-04
0.091	-8.63E-03
0.092	-1.18E-02
0.093	-5.50E-03
0.094	-1.80E-02
0.095	-2.43E-02
0.096	-2.43E-02
0.097	-1.49E-02
0.098	-2.11E-02
0.099	-2.43E-02
0.1	-1.49E-02
0.101	-1.80E-02
0.102	-1.49E-02
0.103	-1.49E-02
0.104	-2.38E-03
0.105	7.50E-04
0.106	-1.18E-02
0.107	-5.50E-03
0.108	1.33E-02
0.109	7.00E-03
0.11	1.64E-02
0.111	1.33E-02
0.112	1.33E-02
0.113	1.01E-02
0.114	7.00E-03
0.115	7.00E-03
0.116	1.01E-02
0.117	3.88E-03
0.118	1.01E-02
0.119	1.01E-02
0.12	7.00E-03
0.121	7.00E-03
0.122	7.50E-04
0.123	3.88E-03
0.124	-8.63E-03
0.125	7.50E-04
0.126	7.50E-04
0.127	-8.63E-03
0.128	-2.38E-03
0.129	-2.38E-03
0.13	-8.63E-03
0.131	-1.18E-02
0.132	-8.63E-03
0.133	-8.63E-03
0.134	-1.18E-02
0.135	-5.50E-03
0.136	-8.63E-03
0.137	-5.50E-03
0.138	-8.63E-03
0.139	-1.80E-02
0.14	3.88E-03
0.141	-2.38E-03
0.142	7.50E-04
0.143	7.00E-03
0.144	-5.50E-03
0.145	-8.63E-03
0.146	-5.50E-03
0.147	-5.50E-03
0.148	7.50E-04
0.149	7.50E-04
0.15	3.88E-03
0.151	-2.38E-03
0.152	7.50E-04
0.153	-2.38E-03
0.154	-2.38E-03
0.155	7.50E-04
0.156	-1.49E-02
0.157	-2.38E-03
0.158	-5.50E-03
